block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,37,18.14,19.43,23.65,2.87,3.1,3.41,0,0.2,0,15.21,22.61,31.94,3.19,3.38,3.79,0.2,0.1,0,1,21,Jagger
1,37,19.51,21.86,26.17,2.89,3.11,3.37,0,0,0,20.06,24.94,33.24,3.15,3.38,3.76,0.1,0,0,2,21,Jagger
1,37,20.67,22.53,26.87,2.88,3.1,3.37,0,0,0.2,20.12,26.37,35.37,3.09,3.34,3.72,0.1,0,0,3,21,Jagger
1,38,20.47,21.89,25.31,2.9,3.13,3.4,0,0.1,0.1,19.38,23.84,31.1,3.09,3.35,3.77,0.1,0.2,0.2,1,58,Bernstein
1,38,21.01,22.45,26.12,2.88,3.1,3.36,0,0,0.1,21.01,24.78,31.82,3.11,3.3,3.71,0,0.1,0,2,58,Bernstein
1,38,22.77,24.93,27.99,2.87,3.07,3.36,0,0,0.2,20.78,26.75,34.18,3.12,3.39,3.8,0.1,0,0.2,3,58,Bernstein
1,39,23.82,26.11,30.09,2.85,3.06,3.32,0,0.2,0.3,22.65,28.17,35.99,3.1,3.38,3.83,0,0.1,0.1,1,49,Rialto
1,39,24.6,26.2,29.3,2.89,3.09,3.35,0,0,0,21.48,28.41,37.04,3.12,3.36,3.87,0.1,0,0.1,2,49,Rialto
1,39,21.8,25.18,30.12,2.9,3.1,3.38,0,0.1,0.3,21.46,27.52,37.62,3.15,3.38,3.81,0,0,0.2,3,49,Rialto
1,40,20.57,24.77,30.2,2.92,3.13,3.43,0,0,0.1,22.73,29.32,39.32,3.11,3.34,3.85,0.1,0.2,0.1,1,3,Glasgow
1,40,22.03,24.74,29.8,2.89,3.1,3.39,0.1,0,0.3,23.29,29.69,38.63,3.07,3.29,3.85,0,0.4,0.3,2,3,Glasgow
1,40,22.35,24.75,29.06,2.87,3.08,3.39,0.1,0,0.1,21.95,28.28,37.68,3.09,3.39,3.81,0.1,0.1,0.2,3,3,Glasgow
