VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
21.7,22.09,27.44,20.98,30.9,39.46,3.27,3.49,3.73,3.57,3.82,4.42,63,var62,1
17.68,20.47,25.6,20.23,29.43,37.01,3.31,3.54,3.85,3.61,3.84,4.42,63,var62,1
18.04,19.4,24.02,18.92,28.17,34.91,3.28,3.52,3.85,3.63,3.81,4.41,63,var62,1
18.33,20.56,25.65,19.57,29.62,37.13,3.35,3.55,3.84,3.62,3.79,4.4,64,var63,1
17.69,19.58,24.93,21.09,30.22,36.73,3.34,3.58,3.85,3.61,3.83,4.37,64,var63,1
18.96,20.52,24.95,19.75,29.62,36.72,3.32,3.57,3.86,3.64,3.82,4.43,64,var63,1
19.02,20.39,24.96,19.33,28.13,36.83,3.28,3.48,3.81,3.66,3.86,4.49,65,var64,1
17.22,19.69,24.86,19.03,29.04,38.18,3.32,3.54,3.85,3.59,3.84,4.43,65,var64,1
17.69,20.57,25.61,18.84,27.86,35.73,3.33,3.52,3.85,3.6,3.8,4.4,65,var64,1
18.63,18.81,23.9,19.35,28.69,36.41,3.37,3.71,4.07,3.6,3.84,4.43,66,var65,1
17.54,20.54,25.84,18.08,28.87,36.5,3.3,3.53,3.84,3.65,3.81,4.41,66,var65,1
17.94,19.74,25.62,19.51,30.59,38.99,3.31,3.55,3.85,3.62,3.79,4.38,66,var65,1
16.75,17.68,22.1,18.63,26.61,33.15,3.3,3.55,3.82,3.59,3.79,4.34,67,var66,1
16.16,17.04,21.06,16.25,24.76,31.16,3.3,3.54,3.82,3.66,3.84,4.41,67,var66,1
15.85,17.0,21.33,16.57,25.38,31.97,3.33,3.57,3.83,3.58,3.87,4.37,67,var66,1
15.15,16.13,20.37,15.49,22.58,29.2,3.31,3.56,3.83,3.63,3.78,4.32,68,var67,1
15.99,16.4,20.72,17.05,24.06,30.94,3.31,3.58,3.86,3.63,3.8,4.34,68,var67,1
17.64,17.76,21.61,16.71,24.14,30.57,3.26,3.49,3.79,3.66,3.85,4.38,68,var67,1
19.77,20.64,24.48,20.86,27.06,32.71,3.22,3.44,3.79,3.59,3.85,4.47,69,var68,1
18.46,19.43,23.03,18.33,25.8,32.16,3.24,3.39,3.72,3.65,3.91,4.52,69,var68,1
16.95,17.99,22.65,19.04,27.93,33.85,3.29,3.48,3.73,3.63,3.92,4.49,69,var68,1
18.37,18.79,23.14,19.07,26.99,32.07,3.28,3.5,3.75,3.62,3.94,4.43,70,var69,1
17.99,19.06,23.47,18.33,27.28,32.92,3.27,3.49,3.8,3.62,3.88,4.51,70,var69,1
17.03,17.63,22.5,18.3,28.06,36.18,3.3,3.54,3.82,3.6,3.88,4.53,70,var69,1
39.29,37.74,39.82,36.39,38.03,42.98,3.25,3.51,3.84,3.6,3.82,4.62,71,var70,1
37.08,34.87,38.32,40.93,42.8,45.14,3.25,3.53,3.82,3.63,3.86,4.68,71,var70,1
38.08,36.26,38.84,38.23,40.66,44.36,3.29,3.55,3.91,3.62,3.87,4.7,71,var70,1
18.11,20.02,26.94,23.09,36.46,47.93,3.32,3.63,4.16,3.58,3.92,5.17,72,var71,1
20.5,25.4,34.64,23.42,37.6,52.35,3.29,3.65,4.54,3.63,4.01,5.39,72,var71,1
22.05,28.9,39.69,24.25,40.37,55.55,3.34,3.71,4.85,3.65,4.08,5.89,72,var71,1
20.65,22.99,27.93,21.61,32.85,43.64,3.32,3.48,3.78,3.62,3.88,4.8,73,var56,2
